Title,Company,Location,Salary,Date Posted,Link
Software Engineer II,Sumo Logic,"Remote in Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=43127ffb68827bfb&bb=0gAKhBBeDVcAINjE-_IxDJu-zItkWk98ZYclffcdODRErjhyXbqEO9TIx_ebuCP7O4yNAnNTuHXKl347ZqnbvZ1ADlCD2IN9N_FozRCTszPh7QzmBFsWGa9SO1MkERNa&xkcb=SoD067M32mfndKyKXp0HbzkdCdPP&fccid=cd16d7546cac8264&vjs=3
Backend Engineer II (Remote),HackerRank,"Remote in Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=7eb184426a12da7c&bb=0gAKhBBeDVcAINjE-_IxDOpFdYZb9VFirBeWprF4u4J5hjDw42DD_ggT4AZT94NM-HAC1aFBIhVAxoYDBESYA7l9yqH4Za8LcJMq2pm86T_DlguV3pkI43hzq5Za_Tej&xkcb=SoBA67M32mfndKyKXp0GbzkdCdPP&fccid=466b98b3b1d69f33&vjs=3
Backend Developer,Wilson Wings Pvt Ltd,"Bengaluru, Karnataka",500.0,EmployerActive 4 days ago,https://www.indeed.com/rc/clk?jk=646f619a902e39c6&bb=0gAKhBBeDVcAINjE-_IxDEMtvOCqH387BWJVlrFsgQudH-nhZ74MqdWnbL_dJg4yz3NFxlJS88xQpb-3lXQQGFZnkRsgo6VuJbU_Tzo1a4gmLwC27EP03SAa-Ct09pm9&xkcb=SoDd67M32mfndKyKXp0FbzkdCdPP&fccid=2a7470e9c16bca70&cmp=Wilson-Wings-Pvt-Ltd&ti=Back+End+Developer&vjs=3
Python Developer,Zodopt Technology Solutions Pvt. Ltd.,"Bengaluru, Karnataka",0.0,EmployerActive 3 days ago,https://www.indeed.com/rc/clk?jk=8b7ccf138b45d8da&bb=0gAKhBBeDVcAINjE-_IxDLJjnzVJL27k1m9LOTatclu6TcoomHvkv7HwYwhccQ5kbVBJCDFXiWjjQ5uhOLQhYKPP01-VJuUZDCKWFShMWK-4s1lfymIM29D6u9ySeXOd&xkcb=SoBp67M32mfndKyKXp0EbzkdCdPP&fccid=9a8accecd5ce77ef&cmp=Zodopt-Technology-Solutions-Pvt.-Ltd.&ti=Python+Developer&vjs=3
Spring Boot-Application Developer,Accenture,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=cc6395dc7e6d8b03&bb=0gAKhBBeDVcAINjE-_IxDFkGQxQyS3jxKdt9yfIiqExGHW6nD-AznRo5tCI-4lLYZVrVNNQJMj52q_ivBWbaA4kz8NDGJ-OPqleMayIvv_qTjfzyxWmw_Q%3D%3D&xkcb=SoBO67M32mfndKyKXp0bbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
SQL Developer,Data Collection Infotech,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=0d3a92e2167a5302&bb=0gAKhBBeDVcAINjE-_IxDFkGQxQyS3jxT8tMAvFx9DIU13UXlCkodKEePiDysOjQ868EvLEClAxUGPKowAwnYKWGc2lYhXEzlwepzyppZB6nOaoo1xwViOInzJWL7XRn&xkcb=SoD667M32mfndKyKXp0abzkdCdPP&fccid=cd38bb0d5e5de0a2&vjs=3
Senior Backend Engineer (Python),ClanX,"Bengaluru, Karnataka",2500.0,Not specified,https://www.indeed.com/rc/clk?jk=f52b2bd648c789ec&bb=0gAKhBBeDVcAINjE-_IxDHYo-I2__Bk_gRiI4t3bOmaqsXxT0XAwNXWUfYyquyhL9QT9tcM0EUnAqrqjkRntu1p0ycVTwfk2XSdqgvJQI3FDkv0QjxIhZxu_KWSY6h1i&xkcb=SoBn67M32mfndKyKXp0ZbzkdCdPP&fccid=f1020d68f89e2355&vjs=3
Backend Developer Nestjs,BNET Insurance Brokers Pvt Ltd,"Bengaluru, Karnataka",200.0,EmployerActive 3 days ago,https://www.indeed.com/rc/clk?jk=2e7ed6e40ecd960a&bb=0gAKhBBeDVcAINjE-_IxDMiY834QLTuZGu_CacdTUvy_0ndg0s6-jPdwh3dg-hj2x6U8nSrCQXEIfprQQ60SKY6QqKCfgxx2xvDzpsLbzyZW2iMvg2_yX__7k4AYOenz&xkcb=SoDT67M32mfndKyKXp0YbzkdCdPP&fccid=dd0253d956f401be&cmp=BNET-INSURANCE-BROKERS-PVT-LTD&ti=Back+End+Developer&vjs=3
developer,Tata Consultancy Services,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=b65d95f28fef222f&bb=0gAKhBBeDVcAINjE-_IxDO1k8g7w3jX-YtQ-yigBdOeNgRwHG7fXItqRIwCVcvxJyX62boVabh2Wb_dszfi7ahRddiwhCX4H5R7yvwpqv3gGhjG1ShymEY7CFTeEn_Ln&xkcb=SoBd67M32mfndKyKXp0fbzkdCdPP&fccid=d9b9208177142548&vjs=3
Senior Developer - Xebia,Foraysoft,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=d0f86a7a73c12cc9&bb=0gAKhBBeDVcAINjE-_IxDMiY834QLTuZXquvVeMJiKFAVpernBJT1pHErS3fSNgWpseuppSKWFWaG-bJj6GucOYGodHPfYoZ0b_Ojgg-S1rUV8fOnACMpYmtrgWbfkX6&xkcb=SoDp67M32mfndKyKXp0ebzkdCdPP&fccid=b954b145e862b043&vjs=3
Staff Engineer- Backend,Invoq Loop Insurance Brokers,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=91187608fd0062fc&bb=0gAKhBBeDVcAINjE-_IxDJhbJKBOWab6sDtOMx_OogDqGRQYya6Atu-I-acT8IYSuAskYbaApMTm7CpGekZ7Mj1qoxnuGEaadQnVChidiQbvDrs8GObDaXsJTKJVQqG4&xkcb=SoB067M32mfndKyKXp0dbzkdCdPP&fccid=6cd995ce175bc13a&vjs=3
